page,question,prompt,id,economy,society
1,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of transnational corporations.",globalisationinevitable,-1,
1,2,"I’d always support my country, whether it was right or wrong.",countryrightorwrong,,1
1,3,"No one chooses their country of birth, so it’s foolish to be proud of it.",proudofcountry,,-1
1,4,"Our race has many superior qualities, compared with other races.",racequalities,,1
1,5,The enemy of my enemy is my friend.,enemyenemyfriend,,1
1,6,Military action that defies international law is sometimes justified.,militaryactionlaw,,1
1,7,There is now a worrying fusion of information and entertainment.,fusioninfotainment,,-1
2,8,People are ultimately divided more by class than by nationality.,classthannationality,-1,
2,9,Controlling inflation is more important than controlling unemployment.,inflationoverunemployment,1,
2,10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",corporationstrust,-1,
2,11,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",fromeachability,-1,
2,12,"The freer the market, the freer the people.",freermarketfreerpeople,1,
2,13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",bottledwater,-1,
2,14,Land should not be a commodity to be bought and sold.,landcommodity,-1,
2,15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,manipulatemoney,-1,
2,16,Protectionism is sometimes necessary in trade.,protectionismnecessary,-1,
2,17,The only social responsibility of a company should be to deliver a profit to its shareholders.,companyshareholders,1,
2,18,The rich are too highly taxed.,richtaxed,1,
2,19,Those with the ability to pay should have access to higher standards of medical care.,paymedical,1,
2,20,Governments should penalise businesses that mislead the public.,penalisemislead,-1,
2,21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,freepredatormulinational,-1,
3,22,"Abortion, when the woman’s life is not threatened, should always be illegal.",abortionillegal,,1
3,23,All authority should be questioned.,questionauthority,,-1
3,24,An eye for an eye and a tooth for a tooth.,eyeforeye,,1
3,25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,taxtotheatres,1,
3,26,Schools should not make classroom attendance compulsory.,schoolscompulsory,,-1
3,27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",ownkind,,1
3,28,Good parents sometimes have to spank their children.,spankchildren,,1
3,29,It’s natural for children to keep some secrets from their parents.,naturalsecrets,,-1
3,30,Possessing marijuana for personal use should not be a criminal offence.,marijuanalegal,,-1
3,31,The prime function of schooling should be to equip the future generation to find jobs.,schooljobs,,1
3,32,People with serious inheritable disabilities should not be allowed to reproduce.,inheritablereproduce,,1
3,33,The most important thing for children to learn is to accept discipline.,childrendiscipline,,1
3,34,There are no savage and civilised peoples; there are only different cultures.,savagecivilised,,-1
3,35,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",abletowork,,1
3,36,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",represstroubles,,1
3,37,First-generation immigrants can never be fully integrated within their new country.,immigrantsintegrated,,1
3,38,"What’s good for the most successful corporations is always, ultimately, good for all of us.",goodforcorporations,1,
3,39,"No broadcasting institution, however independent its content, should receive public funding.",broadcastingfunding,1,
4,40,Our civil liberties are being excessively curbed in the name of counter-terrorism.,libertyterrorism,,-1
4,41,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,onepartystate,,1
4,42,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",serveillancewrongdoers,,1
4,43,The death penalty should be an option for the most serious crimes.,deathpenalty,,1
4,44,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",societyheirarchy,,1
4,45,Abstract art that doesn't represent anything shouldn't be considered art at all.,abstractart,,1
4,46,"In criminal justice, punishment should be more important than rehabilitation.",punishmentrehabilitation,,1
4,47,It is a waste of time to try to rehabilitate some criminals.,wastecriminals,,1
4,48,The businessperson and the manufacturer are more important than the writer and the artist.,businessart,,1
4,49,"Mothers may have careers, but their first duty is to be homemakers.",mothershomemakers,,1
4,50,Multinational companies are unethically exploiting the plant genetic resources of developing countries.,plantresources,,-1
4,51,Making peace with the establishment is an important aspect of maturity.,peacewithestablishment,,1
5,52,Astrology accurately explains many things.,astrology,,1
5,53,You cannot be moral without being religious.,moralreligious,,1
5,54,Charity is better than social security as a means of helping the genuinely disadvantaged.,charitysocialsecurity,1,
5,55,Some people are naturally unlucky.,naturallyunlucky,,1
5,56,It is important that my child’s school instills religious values.,schoolreligious,,1
6,57,Sex outside marriage is usually immoral.,sexoutsidemarriage,,1
6,58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",homosexualadoption,,-1
6,59,"Pornography, depicting consenting adults, should be legal for the adult population.",pornography,,-1
6,60,What goes on in a private bedroom between consenting adults is no business of the state.,consentingprivate,,-1
6,61,No one can feel naturally homosexual.,naturallyhomosexual,,1
6,62,These days openness about sex has gone too far.,opennessaboutsex,,1